"","month","acronym","media_count","media_threat"
"559",2020-01-01,"ECHA",2,"no"
"560",2020-02-01,"ECHA",1,"no"
"561",2020-03-01,"ECHA",2,"no"
"562",2020-04-01,"ECHA",0,"no"
"563",2020-05-01,"ECHA",0,"no"
"564",2020-06-01,"ECHA",1,"no"
"565",2020-07-01,"ECHA",0,"no"
"566",2020-08-01,"ECHA",0,"no"
"567",2020-09-01,"ECHA",1,"no"
"568",2020-10-01,"ECHA",0,"no"
"569",2020-11-01,"ECHA",2,"no"
"570",2020-12-01,"ECHA",0,"no"
"571",2021-01-01,"ECHA",0,"no"
"572",2021-02-01,"ECHA",1,"no"
"573",2021-03-01,"ECHA",0,"no"
"574",2021-04-01,"ECHA",4,"yes"
"575",2021-05-01,"ECHA",0,"no"
"576",2021-06-01,"ECHA",0,"no"
"577",2015-07-01,"EEA",1,"no"
"578",2015-08-01,"EEA",1,"no"
"579",2015-09-01,"EEA",5,"no"
"580",2015-10-01,"EEA",2,"no"
"581",2015-11-01,"EEA",3,"no"
"582",2015-12-01,"EEA",27,"yes"
"583",2016-01-01,"EEA",6,"no"
"584",2016-02-01,"EEA",5,"no"
"585",2016-03-01,"EEA",2,"no"
"586",2016-04-01,"EEA",1,"no"
"587",2016-05-01,"EEA",2,"no"
"588",2016-06-01,"EEA",7,"no"
"589",2016-07-01,"EEA",2,"no"
"590",2016-08-01,"EEA",2,"no"
"591",2016-09-01,"EEA",3,"no"
"592",2016-10-01,"EEA",4,"no"
"593",2016-11-01,"EEA",8,"no"
"594",2016-12-01,"EEA",4,"no"
"595",2017-01-01,"EEA",7,"no"
"596",2017-02-01,"EEA",7,"no"
"597",2017-03-01,"EEA",3,"no"
"598",2017-04-01,"EEA",5,"no"
"599",2017-05-01,"EEA",5,"no"
"600",2017-06-01,"EEA",4,"no"
"601",2017-07-01,"EEA",5,"no"
"602",2017-08-01,"EEA",4,"no"
"603",2017-09-01,"EEA",1,"no"
"604",2017-10-01,"EEA",8,"no"
"605",2017-11-01,"EEA",6,"no"
"606",2017-12-01,"EEA",1,"no"
"607",2018-01-01,"EEA",2,"no"
"608",2018-02-01,"EEA",4,"no"
"609",2018-03-01,"EEA",1,"no"
"610",2018-04-01,"EEA",5,"no"
"611",2018-05-01,"EEA",1,"no"
"612",2018-06-01,"EEA",2,"no"
"613",2018-07-01,"EEA",4,"no"
"614",2018-08-01,"EEA",0,"no"
