"","agencyname","month","hearing"
"728","ESMA",2018-08-01,0
"729","ESMA",2018-09-01,0
"730","ESMA",2018-10-01,0
"731","ESMA",2018-11-01,0
"732","ESMA",2018-12-01,0
"733","ESMA",2019-01-01,0
"734","ESMA",2019-02-01,0
"735","ESMA",2019-03-01,0
"736","ESMA",2019-04-01,0
"737","EU-OSHA",2015-07-01,0
"738","EU-OSHA",2015-08-01,0
"739","EU-OSHA",2015-09-01,0
"740","EU-OSHA",2015-10-01,0
"741","EU-OSHA",2015-11-01,0
"742","EU-OSHA",2015-12-01,0
"743","EU-OSHA",2016-01-01,0
"744","EU-OSHA",2016-02-01,0
"745","EU-OSHA",2016-03-01,0
"746","EU-OSHA",2016-04-01,0
"747","EU-OSHA",2016-05-01,0
"748","EU-OSHA",2016-06-01,0
"749","EU-OSHA",2016-07-01,0
"750","EU-OSHA",2016-08-01,0
"751","EU-OSHA",2016-09-01,0
"752","EU-OSHA",2016-10-01,1
"753","EU-OSHA",2016-11-01,1
"754","EU-OSHA",2016-12-01,0
"755","EU-OSHA",2017-01-01,0
"756","EU-OSHA",2017-02-01,0
"757","EU-OSHA",2017-03-01,0
"758","EU-OSHA",2017-04-01,0
"759","EU-OSHA",2017-05-01,0
"760","EU-OSHA",2017-06-01,0
"761","EU-OSHA",2017-07-01,0
"762","EU-OSHA",2017-08-01,0
"763","EU-OSHA",2017-09-01,0
"764","EU-OSHA",2017-10-01,0
"765","EU-OSHA",2017-11-01,0
"766","EU-OSHA",2017-12-01,0
"767","EU-OSHA",2018-01-01,0
"768","EU-OSHA",2018-02-01,0
"769","EU-OSHA",2018-03-01,0
"770","EU-OSHA",2018-04-01,0
"771","EU-OSHA",2018-05-01,0
"772","EU-OSHA",2018-06-01,0
"773","EU-OSHA",2018-07-01,0
"774","EU-OSHA",2018-08-01,0
"775","EU-OSHA",2018-09-01,0
"776","EU-OSHA",2018-10-01,0
"777","EU-OSHA",2018-11-01,0
"778","EU-OSHA",2018-12-01,0
"779","EU-OSHA",2019-01-01,0
"780","EU-OSHA",2019-02-01,0
"781","EU-OSHA",2019-03-01,0
"782","EU-OSHA",2019-04-01,0
"783","EUIPO",2015-07-01,0
"784","EUIPO",2015-08-01,0
"785","EUIPO",2015-09-01,0
"786","EUIPO",2015-10-01,0
"787","EUIPO",2015-11-01,1
"788","EUIPO",2015-12-01,1
"789","EUIPO",2016-01-01,0
"790","EUIPO",2016-02-01,1
"791","EUIPO",2016-03-01,0
"792","EUIPO",2016-04-01,0
"793","EUIPO",2016-05-01,0
"794","EUIPO",2016-06-01,0
