"","agencyname","month","information","joined","no.response","response","discussion","positive","neutral","negative","audience_count","hearing","media_count","media_threat","audience_threat","criticism.12","praise.12","neutral.12","valence.12","criticism.3","praise.3","neutral.3","valence.3","media_count.3","media_count.12"
"128","CEDEFOP","2015-12-01",104,"yes",6,2,8,5,3,0,886,0,0,"no","no",NA,NA,NA,NA,1,15,4,0.7,0,NA
"129","CPVO","2015-12-01",18,"yes",1,0,1,0,1,0,47,0,0,"no","no",NA,NA,NA,NA,0,1,0,1,0,NA
"130","EASA","2015-12-01",4,"yes",3,0,3,1,2,0,439,0,1,"no","no",NA,NA,NA,NA,1,6,2,0.555555555555556,14,NA
"131","EBA","2015-12-01",20,"yes",1,0,1,1,0,0,172,0,4,"no","no",NA,NA,NA,NA,0,2,1,0.666666666666667,29,NA
"132","ECDC","2015-12-01",9,"yes",3,0,3,3,0,0,507,0,2,"no","no",NA,NA,NA,NA,22,26,9,0.0701754385964912,4,NA
"133","ECHA","2015-12-01",55,"yes",0,0,0,0,0,0,321,0,0,"no","no",NA,NA,NA,NA,2,8,5,0.4,0,NA
"134","EEA","2015-12-01",45,"yes",7,0,7,6,0,1,1190,0,27,"yes","no",NA,NA,NA,NA,19,21,16,0.0357142857142857,10,NA
"135","EFCA","2015-12-01",9,"yes",0,0,0,0,0,0,44,0,0,"no","no",NA,NA,NA,NA,0,0,0,0,1,NA
"136","EFSA","2015-12-01",56,"yes",4,0,4,2,2,0,703,1,4,"no","no",NA,NA,NA,NA,2,8,2,0.5,20,NA
"137","EIGE","2015-12-01",23,"yes",0,0,0,0,0,0,356,0,0,"no","no",NA,NA,NA,NA,4,3,2,-0.111111111111111,2,NA
"138","EIOPA","2015-12-01",12,"yes",1,0,1,0,0,1,132,1,1,"no","no",NA,NA,NA,NA,0,0,0,0,0,NA
"139","EMA","2015-12-01",39,"yes",1,0,1,0,1,0,542,0,10,"no","no",NA,NA,NA,NA,1,9,2,0.666666666666667,20,NA
"140","EMCDDA","2015-12-01",10,"yes",5,0,5,5,0,0,185,0,0,"no","no",NA,NA,NA,NA,1,8,5,0.5,1,NA
"141","EMSA","2015-12-01",15,"yes",1,0,1,1,0,0,130,0,0,"no","no",NA,NA,NA,NA,0,1,3,0.25,0,NA
"142","ENISA","2015-12-01",31,"yes",3,0,3,2,1,0,1238,0,0,"no","no",NA,NA,NA,NA,2,19,5,0.653846153846154,1,NA
"143","ERA","2015-12-01",12,"yes",0,1,1,1,0,0,45,0,0,"no","no",NA,NA,NA,NA,1,4,1,0.5,0,NA
"144","ESMA","2015-12-01",42,"yes",1,0,1,1,0,0,536,0,1,"no","no",NA,NA,NA,NA,1,3,2,0.333333333333333,2,NA
"145","EU-OSHA","2015-12-01",13,"yes",1,0,1,0,0,1,386,0,0,"no","no",NA,NA,NA,NA,3,16,5,0.541666666666667,1,NA
"146","EUIPO","2015-12-01",60,"yes",2,0,2,1,0,1,0,1,0,"no","no",NA,NA,NA,NA,0,4,3,0.571428571428571,7,NA
"147","EUROFOUND","2015-12-01",52,"yes",8,0,8,5,2,1,407,1,0,"no","no",NA,NA,NA,NA,1,3,4,0.25,0,NA
"148","FRA","2015-12-01",69,"yes",14,1,15,9,1,5,1438,2,0,"no","no",NA,NA,NA,NA,16,21,10,0.106382978723404,2,NA
"149","FRONTEX","2015-12-01",37,"yes",18,0,18,9,2,7,1951,3,118,"yes","no",NA,NA,NA,NA,13,23,19,0.181818181818182,389,NA
"150","SRB","2015-12-01",9,"yes",0,0,0,0,0,0,139,0,3,"no","no",NA,NA,NA,NA,0,2,0,1,4,NA
"151","ACER","2016-01-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,1,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"152","BEREC OFFICE","2016-01-01",8,"yes",0,0,0,0,0,0,89,1,0,"no","no",NA,NA,NA,NA,1,1,1,0,0,NA
"153","CEDEFOP","2016-01-01",49,"yes",2,0,2,1,0,1,593,0,0,"no","no",NA,NA,NA,NA,1,19,6,0.692307692307692,0,NA
"154","CPVO","2016-01-01",28,"yes",1,0,1,1,0,0,55,0,0,"no","no",NA,NA,NA,NA,0,1,1,0.5,0,NA
"155","EASA","2016-01-01",4,"yes",1,0,1,0,1,0,325,0,2,"no","no",NA,NA,NA,NA,0,5,3,0.625,11,NA
"156","EBA","2016-01-01",4,"yes",0,0,0,0,0,0,75,0,7,"no","no",NA,NA,NA,NA,0,3,1,0.75,26,NA
"157","ECDC","2016-01-01",5,"yes",3,0,3,1,1,1,532,0,2,"no","no",NA,NA,NA,NA,9,19,5,0.303030303030303,3,NA
"158","ECHA","2016-01-01",44,"yes",3,1,4,2,2,0,336,0,0,"no","no",NA,NA,NA,NA,0,4,3,0.571428571428571,0,NA
"159","EEA","2016-01-01",24,"yes",5,0,5,3,1,1,1037,0,6,"no","no",NA,NA,NA,NA,13,20,14,0.148936170212766,32,NA
"160","EFCA","2016-01-01",11,"yes",1,0,1,1,0,0,34,0,0,"no","no",NA,NA,NA,NA,0,0,0,0,1,NA
"161","EFSA","2016-01-01",88,"yes",2,0,2,0,2,0,865,0,3,"no","no",NA,NA,NA,NA,2,8,4,0.428571428571429,20,NA
"162","EIGE","2016-01-01",33,"yes",4,0,4,1,1,2,285,0,0,"no","no",NA,NA,NA,NA,3,3,2,0,2,NA
